api-1  | INFO:     Will watch for changes in these directories: ['/app']
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     Started reloader process [1] using StatReload
api-1  | INFO:     Started server process [8]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     172.19.0.1:59616 - "WebSocket /ws" [accepted]
api-1  | INFO:     connection open
api-1  | DEBUG:root:Sending request to Ollama: {'model': 'granite3.3:8b-largectx', 'prompt': 'You are an AI assistant that analyzes user messages and decides what actions to take. You specialize in helping users complete tasks by finding relevant policies and identifying the right people to involve.\n\nUser message: "How many departments are there."\n\nAVAILABLE DATABASE CONTEXT:\nThe database contains corporate organizational data with:\n- 500 people across departments: Engineering, Operations, Marketing, DevOps, Product\n- 35 teams including: Core Platform (Engineering), Frontend Web (Engineering), Mobile Apps (Engineering)\n- 15 cross-functional groups including: Security Council (governance), Data Governance Committee (governance), Architecture Review Board (technical)\n- 20 policies and compliance frameworks\n\nFALKORDB SCHEMA:\nNode Types:\n- Person: id, name, email, department, role, hire_date, location, manager_id\n- Team: id, name, department, focus\n- Group: id, name, description, type, lead_department  \n- Policy: id, name, description, category, severity, responsible_type, compliance_frameworks\n- Message: original, pig_latin, timestamp\n\nRelationships:\n- (Person)-[:MEMBER_OF {role, is_lead}]->(Team)\n- (Person)-[:MEMBER_OF {role, joined_date}]->(Group)\n- (Person)-[:REPORTS_TO]->(Person)\n- (Team)-[:RESPONSIBLE_FOR {responsibility_type, assigned_date}]->(Policy)\n- (Group)-[:RESPONSIBLE_FOR {responsibility_type, assigned_date}]->(Policy)\n\nBased on this message, decide what actions should be taken. You can recommend one or more of the following tools:\n\n1. "search_database" - Search using pre-built queries (people, teams, groups, policies, messages)\n2. "custom_query" - Generate a custom Cypher query for complex organizational data requests\n3. "pig_latin" - Convert the message to pig latin (DEFAULT - use this for normal conversations)\n4. "store_message" - Store the message in the database\n\nIMPORTANT DECISION LOGIC:\n\nUSE "custom_query" for these patterns:\n\nTASK-ORIENTED QUERIES (PRIORITY):\n- Policy compliance: "I need to implement X", "how do I do Y", "what\'s required for Z", "I\'m working on A"\n- Policy ownership: "who owns X policy", "who\'s responsible for Y", "who should I talk to about Z"\n- Task approvals: "who approves X", "who can sign off on Y", "who leads Z initiative"\n- Compliance questions: "what policies apply to X", "what\'s needed for Y compliance", "requirements for Z"\n- Implementation help: "starting a new project", "need approval for X", "implementing Y feature"\n\nORGANIZATIONAL ANALYSIS:\n- Manager/hierarchy questions: "who is X\'s manager", "who reports to Y", "who does X report to"\n- Team leadership: "who are the team leads", "find team leads in Engineering", "who leads the Sales team"\n- Organizational structure: "who has the most reports", "find managers", "show me the hierarchy"\n- Team membership: "who\'s on the X team", "find members of Y team", "what team is X on"\n- Cross-functional analysis: "who works with X", "find X\'s colleagues", "show me connections"\n- Department analysis: "how many people in Engineering", "count by department", "show department sizes"\n- Multiple people queries: "employees in X", "people in Y department", "staff in Z", "workers in A"\n\nPOLICY & COMPLIANCE DISCOVERY:\n- Policy searches: "find security policies", "data privacy requirements", "development standards"\n- Responsibility mapping: "who handles X", "what team owns Y", "responsible parties for Z"\n- Process guidance: "approval workflow for X", "steps to implement Y", "who to contact for Z"\n\nUSE "search_database" for these patterns:\n- Simple name lookups: "find John Smith", "show me Sarah", "lookup Danny"\n- Basic entity searches when NOT asking for relationships: "show Engineering teams", "list security policies"\n- Simple keyword searches without relationships or filtering\n\nUSE "pig_latin" for:\n- Casual conversation: "hello", "thanks", "how are you"\n- Non-organizational questions\n\nALWAYS include "store_message" to save conversation history\n\nKEY PATTERN RECOGNITION:\n- If the query involves WHO, HOW MANY, WHICH, or relationships between entities, use "custom_query"\n- If the user is asking about implementing, starting, or completing something, use "custom_query" to find relevant policies and owners\n- If the user needs to know "who should I talk to" or "who\'s responsible", use "custom_query"\n\nIMPORTANT: Respond with ONLY a valid JSON object, no other text. The JSON must contain:\n- "reasoning": Your reasoning for the decision (explain if task-oriented and what they need)\n- "tools": Array of tool names to call\n- "response_type": "pig_latin" for pig latin responses, "search" for database search responses, "custom" for custom query responses, or "chat" for other responses\n\nExample responses:\n{\n  "reasoning": "This is a normal chat message, so I should convert it to pig latin as the default behavior.",\n  "tools": ["pig_latin", "store_message"],\n  "response_type": "pig_latin"\n}\n\n{\n  "reasoning": "The user is asking to search for specific entities without needing relationship information.",\n  "tools": ["search_database"],\n  "response_type": "search"\n}\n\n{\n  "reasoning": "The user has a task-oriented query about implementing something and needs to find relevant policies and the right people (team leads, policy owners) to work with.",\n  "tools": ["custom_query", "store_message"],\n  "response_type": "custom"\n}', 'stream': False}
api-1  | DEBUG:httpcore.connection:connect_tcp.started host='ollama' port=11434 local_address=None timeout=60 socket_options=None
api-1  | DEBUG:httpcore.connection:connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7fb895a0b590>
